epoch,train_loss,val_loss,val_acc,val_f1
1,1.6921844095851006,1.7333547130815292,0.4621900826446281,0.4050966093883293
2,1.450283842608862,1.4960699493898766,0.5263946280991736,0.4523143422552713
3,1.3409022838064082,1.4796880655431826,0.537448347107438,0.4611625459864306
4,1.2624859825567476,1.6594075633850145,0.4796487603305785,0.4210843790140135
5,1.192746680536581,1.4597355975083222,0.5651342975206611,0.47723800652657344
6,1.1314485002849275,1.5482196449057053,0.5145661157024793,0.4605439058413922
7,1.069629196848174,1.515961628456257,0.5492252066115703,0.4601453446684249
8,1.0282414159015587,1.4949479668499215,0.5442148760330578,0.501735078842845
9,0.9801409726381003,1.7480045601627545,0.44354338842975205,0.41364395495689404
10,0.9433931627011528,1.411265030356222,0.5639979338842975,0.48939072013805873
11,0.9096557395482133,1.3761453676331592,0.5756714876033058,0.5026599895082281
12,0.8845527567377262,1.409149645950253,0.5848657024793389,0.5108338651981408
13,0.8675401826010456,1.3899700654253953,0.5875,0.5114554794738658
14,0.8552456082682006,1.3895595153229998,0.5857438016528925,0.5103292168390078
15,0.8452624945126465,1.3876996386159015,0.5862086776859504,0.5105358130902328
