epoch,train_loss,val_loss,val_acc,val_f1
1,1.4814731208191125,1.6192083861188669,0.5113119834710744,0.4439802026986999
2,1.114246608694876,1.6178263392005312,0.5438533057851239,0.4771850328163168
3,0.8964580486147562,1.84923211249866,0.5318181818181819,0.4666986562425736
4,0.7406801185845033,1.9325467369911309,0.5644628099173554,0.4854347098133127
5,0.5977208070298193,2.1951960967853665,0.5328512396694215,0.4555737794748427
6,0.4828353928961716,2.3312009982519637,0.5490185950413223,0.4735568752023523
7,0.389606052227365,2.4904553438781907,0.5388429752066116,0.45156886875776864
8,0.3118379389391601,2.724243292290913,0.5566632231404959,0.44707386867801274
9,0.25813677029608684,2.9296168657019734,0.5495867768595041,0.4541451686871326
10,0.2158904384402889,2.91850648467478,0.547004132231405,0.44506541429177526
11,0.19413518244957156,3.010875872091243,0.5521177685950414,0.45930438746695473
12,0.18235288191441956,2.983718165073936,0.5568698347107438,0.4539139732033425
