epoch,train_loss,val_loss,val_acc,val_f1
1,2.584190634768526,2.758878686318272,0.4984504132231405,0.42719467589738436
2,2.3730468551732984,2.7679858431220055,0.5002066115702479,0.44204180789994274
3,2.2609872537530022,2.8430256247520447,0.47954545454545455,0.42813623286949903
4,2.183537447098853,2.749008700643715,0.5426652892561984,0.46585769180629205
5,2.106300436050584,2.82670638278911,0.5284090909090909,0.46349719478849755
6,2.030728575329476,2.82182805357795,0.5245351239669421,0.4542410034055521
7,1.9837611880304422,2.7870734943763207,0.5475723140495867,0.4773839272902561
8,1.9313301206183044,2.808568635269215,0.5386363636363637,0.4491822886605492
9,1.9008793477926402,2.8101620815302195,0.5478305785123967,0.47219582641506835
10,1.883969638370541,2.820004164388305,0.528305785123967,0.4633404755835969
11,1.863502693684391,2.8038318078768882,0.534400826446281,0.45754203687097805
12,1.8656392294494766,2.8067266611676467,0.5415289256198347,0.46361172771826287
