epoch,train_loss,val_loss,val_acc,val_f1
1,1.8217359478384991,1.9368317204184438,0.39974173553719006,0.3761661980398099
2,1.6004392336314561,1.7227669958221286,0.4802685950413223,0.40202539376627294
3,1.5124717584425467,1.7309808232331354,0.4699896694214876,0.41109562031505625
4,1.4548062861239717,1.7055361412808692,0.4935950413223141,0.411181443946623
5,1.4085747005298852,1.7756796088804931,0.4768078512396694,0.4080070021727762
6,1.366373565996037,1.512928739802814,0.5503099173553719,0.4724890253853959
7,1.3204652639646886,1.7982572267126096,0.471849173553719,0.3995369825463934
8,1.2892748259172946,1.6453368160628568,0.5007231404958677,0.4537446064508294
9,1.2559176321762953,2.477323017965414,0.32081611570247937,0.3457809783363409
10,1.2274842253301217,1.6118418979213427,0.5233987603305785,0.43748249273483664
11,1.1982508260138702,1.5549073682509755,0.5336776859504132,0.47077233194246576
12,1.1732365631479327,1.5209884701639806,0.5701446280991735,0.4853132334082824
13,1.1457870004319566,1.645148710641814,0.5161157024793388,0.4750474842205155
14,1.1287141014629958,1.5105388396738195,0.562396694214876,0.47141532454166374
15,1.10123587576256,1.5139459758923437,0.5862086776859504,0.5001906895746175
16,1.0800654729738726,1.552613239686348,0.562603305785124,0.4983445900061225
17,1.065364478150522,1.6418963366090076,0.5398760330578513,0.49385268118506226
18,1.0463511767344549,1.629828705672959,0.540857438016529,0.4732966199029078
19,1.0311070190430485,1.5261493879615475,0.5676652892561983,0.4802613588672435
20,1.0180025709706573,1.4985409319204719,0.5743801652892562,0.4937285029341321
21,1.0105893381634268,1.4858463456805207,0.5757747933884297,0.5021019956871108
22,1.000190695496319,1.4777696179103499,0.581198347107438,0.5052931541219078
23,0.9971494155352553,1.478400842911613,0.5806818181818182,0.5072030169833311
24,0.9940427453060604,1.467435022423926,0.5884814049586777,0.5148808338315102
25,0.9895414957006855,1.4747996456847574,0.5811466942148761,0.5070314679424042
