epoch,train_loss,val_loss,val_acc,val_f1
1,1.138917592047051,1.6117783315283687,0.5470557851239669,0.460764326261048
2,0.5968177642126836,1.9403625211653936,0.5584194214876033,0.457553031300906
3,0.30985990641471284,2.2138580026129553,0.5458161157024793,0.4821423245863406
4,0.1696556280213348,2.5183782500711174,0.5480371900826446,0.46017821734664593
5,0.09023443481005725,2.9132118223136976,0.5388946280991735,0.4379047909761327
6,0.05244013307080205,3.218730797464224,0.5445247933884297,0.4459854981886052
7,0.029818765532437088,3.39426226156923,0.5277376033057851,0.44526440223956165
8,0.015780058998137406,3.538759200639202,0.5382231404958677,0.43982076948077203
9,0.00902689416460392,3.562783602750738,0.5545454545454546,0.4592753709689312
10,0.004876970512819662,3.4805129006517266,0.5588326446280992,0.4644141293523208
11,0.003185153156127804,3.43409451288263,0.5618801652892562,0.4770060477509442
12,0.0023485530787888983,3.4806073871992624,0.5657541322314049,0.47243641794381774
